{'text': 'the LEF/TCF family One of the target genes for beta catenin/TCF encodes c MYC explaining why constitutive activation of the WNT pathway can lead to cancer particularly in the colon Most colon cancers arise from mutations in the gene encoding [E1] adenomatous polyposis coli [\\E1] APC a protein required for ubiquitin mediated degradation of beta catenin but a small percentage of colon and some other cancers harbour beta catenin stabilizing mutations Recently we discovered that transgenic mice expressing an activated beta catenin are predisposed', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'D008949', 'C090876', 'C563250', 'D025601', 'C031511', 'D018262', 'D000238', 'C000671802', 'C407009', 'C062351', 'C111578', 'C061075', 'C000613192', 'C000645531', 'D017188', 'C048567', 'C000623798', 'C000699842', 'D018196', 'D000236', 'D017157', 'C017991', 'C538110', 'C526457', 'C018446', 'C538265', 'C055772', 'C017990', 'C011626', 'C022571', 'C018444', 'C027800', 'C000699812', 'C022570', 'C030812', 'C015651', 'C542391', 'C524259', 'C018775', 'D000235', 'C000691299', 'D044483', 'C000647324', 'C503443', 'C049300', 'C026520', 'C520193', 'C406809', 'C000662092', 'C000662061', 'D000261', 'D062788', 'C000640097', 'C538232', 'C000662013', 'C000647651', 'D018194', 'C000661085', 'C044618']}}
{'text': '[E1] Autoimmune lymphoproliferative syndrome [\\E1] with defective Fas genotype influences penetrance Autoimmune lymphoproliferative syndrome ALPS is a disorder of lymphocyte homeostasis and immunological tolerance Most patients have a heterozygous mutation in the APT1 gene which encodes Fas CD95 APO 1 mediator of an apoptotic', 'mention_data': {'kb_id': 'D056735', 'candidates': ['D056735', 'C567815', 'C566613', 'C566614', 'C566615', 'C565833', 'C564469', 'D008232', 'C535950', 'C531729', 'C563898', 'C538275', 'D007160', 'C567043', 'C566374', 'C537711', 'D006954', 'C535300', 'C537027', 'C538637', 'D006952', 'C566263', 'D007161', 'C535296', 'C565963', 'D018344', 'C537710', 'C536189', 'C536240', 'C565432', 'D000163', 'C000715748', 'C538177', 'C538489', 'D017728', 'D011649', 'C538274', 'C000595117', 'C567049', 'C566640', 'D000077733', 'C563456', 'D000092122', 'C567925', 'C563617', 'D007153', 'C563924', 'D000069281', 'C579932', 'C564551', 'C564935', 'C573722', 'C567452', 'D020274', 'C579935', 'C565427', 'C535832', 'D000081012', 'D000083144', 'C564173', 'D056660', 'C538338', 'C535582', 'C565326']}}
{'text': 'Autoimmune lymphoproliferative syndrome with defective Fas genotype influences penetrance [E1] Autoimmune lymphoproliferative syndrome [\\E1] ALPS is a disorder of lymphocyte homeostasis and immunological tolerance Most patients have a heterozygous mutation in the APT1 gene which encodes Fas CD95 APO 1 mediator of an apoptotic pathway crucial to lymphocyte homeostasis Of 17 unique APT1', 'mention_data': {'kb_id': 'D056735', 'candidates': ['C566614', 'D056735', 'C566613', 'C566615', 'C565833', 'C567815', 'C531729', 'C564469', 'D001327', 'C538275', 'D020274', 'C566374', 'D007160', 'C538274', 'C535950', 'D054019', 'D000081012', 'C535299', 'C537027', 'D056660', 'D000163', 'C564173', 'C567043', 'D008232', 'C537711', 'C535300', 'C535296', 'C538273', 'C567925', 'C000719624', 'D000077733', 'C563898', 'C566263', 'C567049', 'D015551', 'C564574', 'C538637', 'C537441', 'D000069281', 'D000744', 'C000719291', 'D025861', 'D007119', 'C562890', 'C536590', 'C565326', 'C535832', 'C536189', 'C536183', 'D004535', 'C565662', 'C536240', 'C538489', 'D011649', 'C537767', 'C564084', 'D000075943', 'D006952', 'C564307', 'D000083144', 'D009958', 'C051944', 'D001229', 'D007153']}}
{'text': 'Mutational analysis and genotype phenotype correlation of 29 unrelated Japanese patients with X linked adrenoleukodystrophy BACKGROUND X linked adrenoleukodystrophy ALD is an inherited disease characterized by progressive neurologic dysfunction occasionally associated with [E1] adrenal insufficiency [\\E1] The classic form of ALD usually has onset in childhood childhood cerebral ALD with rapid neurologic deterioration leading to a vegetative state Adult onset cerebral ALD also presents with rapidly progressive neurologic dysfunction Milder phenotypes such as adrenomyeloneuropathy and', 'mention_data': {'kb_id': 'D000309', 'candidates': ['C566131', 'C535668', 'C566130', 'D000309', 'D017588', 'D016649', 'C538237', 'C564568', 'D000312', 'C565977', 'C535979', 'C535978', 'C536845', 'C564277', 'D000308', 'C564543', 'C535272', 'C567195', 'D046110', 'D047808', 'D014811', 'C564545', 'C565022', 'D063647', 'C563242', 'C565662', 'D000079262', 'C567351', 'C538236', 'C567059', 'C567457', 'D010927', 'C564491', 'D000224', 'C563816', 'C565359', 'C538234', 'D050499', 'C564498', 'C039700', 'C566300', 'C563429', 'D000291', 'C565976', 'C535393', 'C562649', 'C563897', 'C564200', 'C537027', 'C565025', 'C053644', 'C000631847', 'C567186', 'C565063', 'D010049', 'D014808', 'C538246', 'D010188', 'D056828', 'D005348', 'C562711', 'C538465', 'D007228', 'C536481']}}
{'text': 'insufficiency The classic form of ALD usually has onset in childhood childhood cerebral ALD with rapid neurologic deterioration leading to a vegetative state Adult onset cerebral ALD also presents with rapidly progressive neurologic dysfunction Milder phenotypes such as adrenomyeloneuropathy and [E1] Addison disease [\\E1] only also have been recognized Despite discovery of the causative gene a molecular basis for the diverse clinical presentations remains to be elucidated OBJECTIVES To conduct mutational analyses in 29 Japanese patients with ALD from 29 unrelated families to', 'mention_data': {'kb_id': 'D000224', 'candidates': ['D000224', 'D010300', 'C536008', 'D000544', 'D020734', 'D049290', 'D010301', 'D000690', 'D038261', 'D020165', 'D000686', 'C565728', 'D000453', 'D016873', 'C565531', 'C565533', 'D006111', 'D056769', 'D017246', 'C564210', 'C566823', 'C567088', 'C535393', 'C567089', 'D009634', 'C564925', 'D003923', 'C565532', 'C535382', 'C538170', 'C566299', 'C562774', 'C538248', 'C537179', 'D020274', 'D007888', 'C565469', 'C562626', 'D000075262', 'C564785', 'D005776', 'D010302', 'C000723354', 'D014808', 'D009849', 'C538245', 'D006623', 'C567425', 'D009394', 'C563159', 'C535642', 'D011038', 'C000728471', 'C535905', 'D016098', 'D006105', 'C564296', 'C536299', 'C536193', 'C000715748', 'C548080', 'C563501', 'C537441', 'C537295']}}
{'text': 'Absence of the seventh component of complement in a patient with chronic meningococcemia presenting as [E1] vasculitis [\\E1] A previously healthy 40 year old man presenting with fever arthritis and cutaneous vasculitis was found to have chronic meningococcemia Evaluation of his complement system showed an absence of functional and antigenic C7 compatible with a complete deficiency of', 'mention_data': {'kb_id': 'D014657', 'candidates': ['D014657', 'D020293', 'D018366', 'D056647', 'D020945', 'C565222', 'D020803', 'D004660', 'C566008', 'D011051', 'D011350', 'D008590', 'D004673', 'D031300', 'D004679', 'D004672', 'D014615', 'C566007', 'D056653', 'D010689', 'D054853', 'D002318', 'D004675', 'D011705', 'D011052', 'C566617', 'D011695', 'D004696', 'D004760', 'D014381', 'D001167', 'D007249', 'D020804', 'C565569', 'C051087', 'D003141', 'D009877', 'D055986', 'C535279', 'D006505', 'D009336', 'D008178', 'D019283', 'C535278', 'D050500', 'D004674', 'D012899', 'D008586', 'D003231', 'D010493', 'D003236', 'D004692', 'D014376', 'D004681', 'D008180', 'D001284', 'D020306', 'D020943', 'D011026', 'D013684', 'D019694', 'D057772', 'D065627', 'D001249']}}
{'text': 'Absence of the seventh component of complement in a patient with chronic meningococcemia presenting as vasculitis A previously healthy 40 year old man presenting with [E1] fever [\\E1] arthritis and cutaneous vasculitis was found to have chronic meningococcemia Evaluation of his complement system showed an absence of functional and antigenic C7 compatible with a complete deficiency of the seventh component of complement Study of the patients family', 'mention_data': {'kb_id': 'D005334', 'candidates': ['D005334', 'C565569', 'D001249', 'D009325', 'D007249', 'D014581', 'D016470', 'D015004', 'D004617', 'D006967', 'D006487', 'D006439', 'D007938', 'D007511', 'C564156', 'D000084462', 'D018496', 'D006979', 'D005335', 'D006940', 'C565934', 'D006461', 'D008288', 'D051516', 'D014901', 'D006969', 'D014924', 'D006930', 'D004618', 'D020896', 'D006816', 'D066126', 'D017668', 'D018056', 'D012541', 'D000067251', 'D008590', 'D008583', 'D008586', 'D000471', 'D012213', 'D013474', 'D014115', 'C565359', 'D009877', 'D007251', 'D012598', 'D006973', 'D020803', 'D014657', 'D020141', 'D000092422', 'D014615', 'D004194', 'D000210', 'D000707', 'D011749', 'D006391', 'D005221', 'D000138', 'D000743', 'D007835', 'D000080223', 'D012061']}}
{'text': 'Absence of the seventh component of complement in a patient with chronic meningococcemia presenting as vasculitis A previously healthy 40 year old man presenting with fever [E1] arthritis [\\E1] and cutaneous vasculitis was found to have chronic meningococcemia Evaluation of his complement system showed an absence of functional and antigenic C7 compatible with a complete deficiency of the seventh component of complement Study of the patients family spanning', 'mention_data': {'kb_id': 'D001168', 'candidates': ['D001168', 'D001170', 'D001172', 'D015535', 'D016918', 'D010003', 'D015210', 'D001169', 'C563037', 'D001171', 'D012279', 'D009187', 'D007249', 'D004550', 'D014399', 'D007592', 'D000092464', 'D009260', 'D000783', 'D009220', 'D014394', 'C564770', 'D000544', 'D011565', 'D015207', 'D012863', 'D012272', 'D009262', 'D059350', 'D008193', 'D012216', 'D009135', 'D010019', 'D001176', 'D010000', 'C565798', 'D012598', 'C563852', 'D014376', 'D016706', 'D006261', 'C564622', 'D001848', 'D020370', 'D005543', 'D014202', 'D014390', 'D005355', 'D013122', 'D012219', 'D010001', 'D002062', 'C535888', 'D000741', 'C538407', 'D008023', 'C566054', 'D001847', 'D013166', 'C562385', 'D004535', 'D008022', 'D007717', 'D007938']}}
{'text': 'Genotype and phenotype in patients with [E1] dihydropyrimidine dehydrogenase deficiency [\\E1] Dihydropyrimidine dehydrogenase DPD deficiency is an autosomal recessive disease characterised by thymine uraciluria in homozygous deficient patients and has been associated with a variable clinical phenotype In order to understand the genetic and phenotypic basis for DPD deficiency we', 'mention_data': {'kb_id': 'D054067', 'candidates': ['D054067', 'C562815', 'C061532', 'C020047', 'C409726', 'C565970', 'C586491', 'C023125', 'C500532', 'C018890', 'C003886', 'C079105', 'C586280', 'C580039', 'C472994', 'C472459', 'C565375', 'C443998', 'C565112', 'C557205', 'C000967', 'C567258', 'C020038', 'C535600', 'C566487', 'C018889', 'C566729', 'C023126', 'C565278', 'D005955', 'C022286', 'C027622', 'C056230', 'C097660', 'C000609858', 'C562727', 'C000966', 'C565447', 'C536258', 'C564071', 'C097748', 'C538234', 'C023129', 'C565448', 'C566449', 'C082113', 'C537805', 'C565018', 'C044935', 'C537998', 'C077698', 'D008058', 'C534986', 'D006995', 'C566618', 'C074062', 'C562865', 'C012909', 'C537475', 'C023127', 'C046618', 'C563665', 'C031351', 'C000622815']}}
{'text': 'ELISA assay These data are most consistent with a mutation in the coding portion of the apoB gene in HBL patients leading to an abnormal apoB protein and apoB mRNA instability These results are distinct from those previously noted in [E1] abetalipoproteinemia [\\E1] which was characterized by an elevated level of hepatic apoB mRNA and accumulation of intracellular hepatic apoB protein', 'mention_data': {'kb_id': 'D000012', 'candidates': ['D000012', 'D006995', 'C540309', 'D052476', 'D007009', 'D052456', 'C046616', 'C566260', 'C564603', 'D007019', 'D006951', 'C101077', 'C512365', 'C101076', 'D001054', 'C565476', 'C566264', 'C566261', 'D050010', 'C088982', 'C054949', 'C564170', 'D001053', 'C049537', 'C566305', 'C565732', 'C524718', 'C036321', 'D001057', 'C095606', 'C117630', 'D000075243', 'C059735', 'C080631', 'C579624', 'C566267', 'C063686', 'D006954', 'C566265', 'C055664', 'C114042', 'C563010', 'D000098985', 'D010265', 'D028227', 'D053399', 'D001059', 'D000075363', 'C562776', 'C424264', 'C078722', 'D053241', 'C010681', 'C022205', 'C567423', 'C567363', 'C566262', 'D006938', 'C041120', 'C025121', 'C567362', 'C567782', 'C564024', 'C537157']}}
{'text': 'A population based study of the clinical expression of the [E1] hemochromatosis [\\E1] gene BACKGROUND AND METHODS Hereditary hemochromatosis is associated with homozygosity for the C282Y mutation in the hemochromatosis HFE gene on chromosome 6 elevated serum transferrin saturation and excess iron deposits throughout the body To assess the prevalence and clinical', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'C579887', 'C007955', 'C537249', 'C536394', 'C001332', 'C535858', 'D006486', 'C537254', 'D006491', 'C566557', 'C537247', 'C537248', 'C565801', 'D006410', 'C535358', 'D018056', 'C567034', 'C581942', 'D006470', 'D000747', 'D002832', 'D051359', 'C562937', 'D000080365', 'C455135', 'C536068', 'C507620', 'D020786', 'D051516', 'D008216', 'D000071020', 'D006488', 'D006391', 'D006487', 'D019337', 'D006402', 'D006485', 'D006394', 'C549656', 'D006431', 'D006392', 'C069317', 'D006405', 'D018216', 'C000650842', 'C000693764', 'C016485', 'D018325', 'C101983', 'D006474', 'C000651057', 'C000666745', 'C564415', 'C587569', 'C401961', 'C541858', 'C562995', 'D030243', 'C537914', 'D000072837', 'C563935', 'C061223', 'D004684']}}
{'text': 'A population based study of the clinical expression of the hemochromatosis gene BACKGROUND AND METHODS Hereditary hemochromatosis is associated with homozygosity for the C282Y mutation in the [E1] hemochromatosis [\\E1] HFE gene on chromosome 6 elevated serum transferrin saturation and excess iron deposits throughout the body To assess the prevalence and clinical expression of the HFE gene we conducted a population based study in Busselton Australia In 1994 we', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'C579887', 'C537249', 'C007955', 'C536394', 'D006486', 'C001332', 'D006491', 'C535858', 'C566557', 'C537247', 'C537254', 'C537248', 'C565801', 'D018056', 'D051516', 'C567034', 'D018216', 'D006470', 'D006485', 'C507620', 'D006391', 'D000080365', 'D006488', 'C455135', 'D002832', 'D000747', 'D006487', 'C016485', 'D006410', 'C562937', 'D006392', 'D000097545', 'C536068', 'C541858', 'D006394', 'C581942', 'D020786', 'D006431', 'C069317', 'D008216', 'C563215', 'D000071020', 'D006405', 'D006402', 'D006474', 'D019337', 'D006483', 'C101983', 'C535861', 'D006468', 'D051359', 'C000650842', 'C587569', 'C535358', 'C562438', 'C401961', 'D030243', 'D000072837', 'D020138', 'C562995', 'C064141', 'C563478', 'C000613808']}}
